Scenario;UserName;ModelName;Studyname;Attribute;Commodity;Process;Period;Region;Vintage;Userconstraint;Pv;Sow
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Flo";"ELC";"IMPELC-DKW";"2045";"REG1";"2045";"-";"52,4284269301196";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Flo";"ELC_PRIS";"EXPELC-DKW";"2045";"REG1";"2045";"-";"-178,089355273979";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Flo";"ELC";"IMPELC-DKW";"2040";"REG1";"2040";"-";"51,046497085037";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Flo";"ELC_PRIS";"EXPELC-DKW";"2040";"REG1";"2040";"-";"-184,181976545938";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Flo";"ELC";"IMPELC-DKW";"2035";"REG1";"2035";"-";"40,198832279136";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Flo";"ELC_PRIS";"EXPELC-DKW";"2035";"REG1";"2035";"-";"-157,470655735343";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Flo";"ELC";"IMPELC-DKW";"2030";"REG1";"2030";"-";"48,394134150213";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Flo";"ELC_PRIS";"EXPELC-DKW";"2030";"REG1";"2030";"-";"-132,505945666249";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Act";"-";"ELERNWINDOFF20";"2045";"REG1";"2045";"-";"0,0232591728545571";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Act";"-";"IMPELC-DKW";"2045";"REG1";"2045";"-";"3,16943331998656";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Act";"-";"IMPELC-DKW";"2040";"REG1";"2040";"-";"2,68638999232486";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Act";"-";"ELERNWINDOFF8";"2045";"REG1";"2035";"-";"2,37935829886667E-07";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Act";"-";"IMPELC-DKW";"2035";"REG1";"2035";"-";"2,18664635614402";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Act";"-";"ELERNWINDON";"2045";"REG1";"2030";"-";"2,60407369786103";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Act";"-";"ELERNWINDOFF8";"2045";"REG1";"2030";"-";"0,970935855408926";"-"
"deterministic";"lucas";"KModel_04";"pilot_runs";"Cost_Act";"-";"ELERNWINDON";"2040";"REG1";"2030";"-";"2,60401703448521";"-"
